Review,Label Review,Kepuasan Umum/Sentimen
"pesen add on enoki krispy jumbo ( Pisah Original Tanpa Sambal ) tapi malah dicampur di nasinya , dan nasi nya keras","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Negative
sesuai pesanan dan request 👍👍👍,Umum,Positive
"mantap, semoga nanti menunya dapat gratis minuman",Minuman,Positive
kak es teh ketinggalan tidak ada barusan,"Minuman , Minuman (Es teh)",Neutral
luar biasa enaknya dan juga mayoinase nya di kasih extra terimakasih banyak sukses selalu,"Porsi & Harga , Rasa & Tekstur Makanan",Positive
"Baru kali ini dpet kulitnya kering banget, kaya udah beberapa kali goreng",Rasa & Tekstur Makanan,Negative
"Cuminya agak keras yaa mungkin karena kelamaan di goreng.. tapi enoki, ayam dan sambelnya udah oke banget.","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Negative
"enak rasanya cuma Arabian saus nya kosong jadi ganti, sama porsi nasi beda padahal beli 2 porsi","Porsi & Harga , Porsi & Harga (Porsi Nasi) , Rasa & Tekstur Makanan",Positive
Sambalnya kecut🤮 ayamnya gk seger kyk ayam tiren🤮🤮🤮 kecewa poll meskipun pelayanannya cepet..,"Pelayanan , Pelengkap (Sambal)",Negative
pedes banget kak,Umum,Neutral
"pesennya jumbo ayam x sosis datengnya reguler gak ada sosisnya, orderan pertama ditolak orderan kedua gak bener",Umum,Neutral
"maaf sayaa kasiih bintang tiga ayam geprek nya gk kemakan sama sayaa uaaasiiiiiinnn bangetttt, tolong segera diperbaiki lagi rasanyaaa",Rasa & Tekstur Makanan,Neutral
"Rasa cuminya tidak enak. terlalu keras, alot sehingga tidak bisa dimakan. biasanya tidak sealot ini",Rasa & Tekstur Makanan,Negative
"rasanya asin bangett tepungnya keras nasinya lembek, gak bisa dimakan,",Rasa & Tekstur Makanan,Negative
pesen cumi dikasinya ayam 😊😊😊😊😊😊,Rasa & Tekstur Makanan,Neutral
"Pesen makanan melaluo GoFood padahal plus Jamur Enoki Crispy Jumbo tapi yang datang malah sedikit di kotak makanannya. Sebelumnya pesan menu yang sama Nasi Cumi Cajun Mayo + Enoki Crispy Jumbo Cajun Mayo, Jamurnya dipisah di bungkus sendiri. Ini kenapa malah digabung di kotak makanan dan dapatnya sedikit. Padahal tulisannya jumbo di menunya buat Add-On di pesenan. Tolong diperhatikan lagi pesenannya.","Kemasan & Kebersihan , Porsi & Harga",Negative
